state,year,month,year_month,dengueCases,zikaCases,chikvCases,pop_tot,dengueIncidence,zikaIncidence,chikvIncidence
PA,2019,8,2019-08-01,265,16,87,8594626,3.0833220666030146,0.18616284175716313,1.0122604520545746
PA,2019,9,2019-09-01,249,16,13,8594626,2.8971592248458515,0.18616284175716313,0.15125730892769507
PA,2019,10,2019-10-01,233,21,22,8594626,2.710996383088688,0.2443387298062766,0.2559739074160993
PA,2019,11,2019-11-01,319,29,13,8594626,3.71162165753344,0.3374201506848582,0.15125730892769507
PA,2019,12,2019-12-01,164,28,21,8594626,1.908169128010922,0.3257849730750355,0.2443387298062766
PA,2020,1,2020-01-01,534,69,19,8683155,6.149838393993888,0.7946420396733676,0.21881447469266643
PA,2020,2,2020-02-01,975,79,25,8683155,11.228637517123671,0.9098075526695079,0.28791378249035054
PA,2020,3,2020-03-01,607,152,44,8683155,6.9905466388657125,1.7505157975413315,0.5067282571830171
PA,2020,4,2020-04-01,375,55,22,8683155,4.318706737355258,0.6334103214787713,0.25336412859150853
PA,2020,5,2020-05-01,420,17,4,8683155,4.8369515458378896,0.1957813720934384,0.04606620519845609
PA,2020,6,2020-06-01,139,9,6,8683155,1.6008006306463494,0.1036489616965262,0.06909930779768414
PA,2020,7,2020-07-01,78,9,11,8683155,0.8982910013698937,0.1036489616965262,0.12668206429575427
PA,2020,8,2020-08-01,96,4,6,8683155,1.1055889247629462,0.04606620519845609,0.06909930779768414
PA,2020,9,2020-09-01,60,9,5,8683155,0.6909930779768414,0.1036489616965262,0.05758275649807011
PA,2020,10,2020-10-01,74,14,6,8683155,0.8522247961714378,0.1612317181945963,0.06909930779768414
PA,2020,11,2020-11-01,112,16,11,8683155,1.2898537455567705,0.18426482079382436,0.12668206429575427
PA,2020,12,2020-12-01,118,8,5,8683155,1.3589530533544547,0.09213241039691218,0.05758275649807011
PA,2021,1,2021-01-01,310,18,6,8770172,3.534708327271119,0.2052411286802585,0.06841370956008616
PA,2021,2,2021-02-01,361,14,57,8770172,4.116224858531851,0.1596319889735344,0.6499302408208185
PA,2021,3,2021-03-01,574,30,35,8770172,6.54491154791491,0.34206854780043083,0.3990799724338359
PA,2021,4,2021-04-01,482,23,27,8770172,5.495901334660255,0.26225255331366365,0.30786169302038774
PA,2021,5,2021-05-01,478,54,33,8770172,5.450292194953531,0.6157233860407755,0.37627540258047393
PA,2021,6,2021-06-01,271,25,18,8770172,3.0900192151305585,0.2850571231670257,0.2052411286802585
PA,2021,7,2021-07-01,207,26,9,8770172,2.3602729798229727,0.2964594080937067,0.10262056434012926
PA,2021,8,2021-08-01,154,13,6,8770172,1.7559518787088781,0.14822970404685334,0.06841370956008616
PA,2021,9,2021-09-01,102,13,1,8770172,1.1630330625214647,0.14822970404685334,0.011402284926681027
PA,2021,10,2021-10-01,138,5,5,8770172,1.5735153198819818,0.05701142463340513,0.05701142463340513
PA,2021,11,2021-11-01,444,17,9,8770172,5.062614507446376,0.1938388437535775,0.10262056434012926
PA,2021,12,2021-12-01,1430,20,14,8770172,16.30526744515387,0.22804569853362053,0.1596319889735344
PA,2022,1,2022-01-01,989,43,18,8770172,11.276859792487535,0.49029825184728415,0.2052411286802585
PA,2022,2,2022-02-01,910,49,7,8770172,10.376079283279735,0.5587119614073703,0.0798159944867672
PA,2022,3,2022-03-01,847,61,25,8770172,9.657735332898831,0.6955393805275427,0.2850571231670257
PA,2022,4,2022-04-01,873,77,16,8770172,9.954194740992538,0.8779759393544391,0.18243655882689644
PA,2022,5,2022-05-01,672,140,44,8770172,7.6623354707296505,1.5963198897353437,0.5017005367739652
PA,2022,6,2022-06-01,353,60,27,8770172,4.025006579118402,0.6841370956008617,0.30786169302038774
PA,2022,7,2022-07-01,327,22,8,8770172,3.728547171024696,0.2508502683869826,0.09121827941344822
PA,2022,8,2022-08-01,166,23,10,8770172,1.8927792978290505,0.26225255331366365,0.11402284926681026
PA,2022,9,2022-09-01,151,23,4,8770172,1.7217450239288352,0.26225255331366365,0.04560913970672411
PA,2022,10,2022-10-01,215,15,4,8770172,2.4514912592364206,0.17103427390021542,0.04560913970672411
PA,2022,11,2022-11-01,255,39,2,8770172,2.9075826563036618,0.4446891121405601,0.022804569853362055
PA,2022,12,2022-12-01,365,35,5,8770172,4.161833998238575,0.3990799724338359,0.05701142463340513
PA,2023,1,2023-01-01,670,40,4,8770172,7.639530900876289,0.45609139706724106,0.04560913970672411
PA,2023,2,2023-02-01,859,28,7,8770172,9.794562752019003,0.3192639779470688,0.0798159944867672
PA,2023,3,2023-03-01,947,62,26,8770172,10.797963825566933,0.7069416654542237,0.2964594080937067
PA,2023,4,2023-04-01,845,46,25,8770172,9.63493076304547,0.5245051066273273,0.2850571231670257
PA,2023,5,2023-05-01,509,62,24,8770172,5.803763027680643,0.7069416654542237,0.27365483824034464
PA,2023,6,2023-06-01,426,28,27,8770172,4.857373378766118,0.3192639779470688,0.30786169302038774
PA,2023,7,2023-07-01,359,37,24,8770172,4.093420288678489,0.42188454228719807,0.27365483824034464
PA,2023,8,2023-08-01,327,55,40,8770172,3.728547171024696,0.6271256709674565,0.45609139706724106
PA,2023,9,2023-09-01,280,24,13,8770172,3.1926397794706873,0.27365483824034464,0.14822970404685334
PA,2023,10,2023-10-01,203,36,12,8770172,2.3146638401162485,0.410482257360517,0.13682741912017232
PA,2023,11,2023-11-01,196,26,4,8770172,2.2348478456294814,0.2964594080937067,0.04560913970672411
PA,2023,12,2023-12-01,256,21,5,8770172,2.918984941230343,0.23944798346030158,0.05701142463340513
PA,2024,1,2024-01-01,1056,53,12,8664306,12.187935190654624,0.6117050805915673,0.13849926353016617
PA,2024,2,2024-02-01,3393,212,64,8664306,39.16066676315449,2.446820322366269,0.738662738827553
PA,2024,3,2024-03-01,5588,169,83,8664306,64.49449038388072,1.950531294716507,0.9579532394169827
PA,2024,4,2024-04-01,3500,154,75,8664306,40.395618529631804,1.7774072153037992,0.8656203970635387
PA,2024,5,2024-05-01,1925,78,109,8664306,22.21759019129749,0.9002452129460802,1.2580349770656762
PA,2024,6,2024-06-01,1543,54,73,8664306,17.808696968920533,0.6232466858857478,0.8425371864751775
PA,2024,7,2024-07-01,904,42,21,8664306,10.433611185939185,0.4847474223555816,0.2423737111777908
PA,2024,8,2024-08-01,926,43,4,8664306,10.687526502411156,0.4962890276497621,0.04616642117672206
PA,2024,9,2024-09-01,613,28,7,8664306,7.075004045332656,0.32316494823705444,0.08079123705926361
PA,2024,10,2024-10-01,437,24,8,8664306,5.043681513556884,0.27699852706033234,0.09233284235344412
PA,2024,11,2024-11-01,796,35,8,8664306,9.187117814167689,0.403956185296318,0.09233284235344412
PA,2024,12,2024-12-01,657,24,5,8664306,7.5828346782765985,0.27699852706033234,0.05770802647090257
PA,2025,1,2025-01-01,1987,47,5,8711196,22.809726701132657,0.5395355586075666,0.057397399851868786
PA,2025,2,2025-02-01,3380,94,0,8711196,38.8006422998633,1.0790711172151333,0
PA,2025,3,2025-03-01,3906,49,0,8711196,44.8388487642799,0.5624945185483141,0
PA,2025,4,2025-04-01,2892,63,0,8711196,33.19865607432091,0.7232072381335468,0
PA,2025,5,2025-05-01,425,64,0,8711196,4.878778987408847,0.7346867181039205,0
PA,2025,6,2025-06-01,0,60,0,8711196,0,0.6887687982224254,0
PA,2025,7,2025-07-01,0,40,0,8711196,0,0.4591791988149503,0
PA,2025,8,2025-08-01,0,48,0,8711196,0,0.5510150385779404,0
PA,2025,9,2025-09-01,0,29,0,8711196,0,0.332904919140839,0
PA,2025,10,2025-10-01,0,24,0,8711196,0,0.2755075192889702,0
PA,2025,11,2025-11-01,0,24,0,8711196,0,0.2755075192889702,0
PA,2025,12,2025-12-01,0,13,0,8711196,0,0.14923323961485885,0
PB,2016,1,2016-01-01,4438,23,171,3976851,111.5958329844392,0.5783470389008791,4.2998845066108835
PB,2016,2,2016-02-01,6197,634,135,3976851,155.8268086986412,15.942261854919886,3.394645663113856
PB,2016,3,2016-03-01,8531,1367,596,3976851,214.5164603853652,34.373930529456594,14.986731964561912
PB,2016,4,2016-04-01,7739,766,1062,3976851,194.60120582843058,19.26147094774232,26.70454588316233
PB,2016,5,2016-05-01,3796,714,986,3976851,95.45240694207553,17.953903729357727,24.79348610244638
PB,2016,6,2016-06-01,2506,196,662,3976851,63.014681716765345,4.928522592372708,16.64633651097313
PB,2016,7,2016-07-01,1561,158,428,3976851,39.25216207496836,3.972992702014735,10.762284028242446
PB,2016,8,2016-08-01,306,291,251,3976851,7.69453016972474,7.317347318267644,6.311526381048725
PB,2016,9,2016-09-01,203,10,152,3976851,5.10454125638602,0.25145523430473005,3.8221195614318964
